WATER QUALITY DATA 2013 | CPCB ENVIS ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER BEAS - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE- N+ NITRITE-N (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml),,,,,,,,,,,,,,,,
Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,,,
WATER QUALITY CRITERIA,,,> 4 mg/l,6.5-8.5,,< 3 mg/l,,< 2500 MPN/100ml,< 5000 MPN/100ml,,,,,,,,,,,,,,,,,
1001,"BEAS AT U/S MANALI, H.P.",HIMACHAL PRADESH,1,13,6.5,8.2,9.9,9.3,7.6,8.3,8,46,104,81,0.1,0.6,0.2,0.176,1.32,1,17,94,38,34,350,125
1002,"BEAS AT D/S KULU, H.P.",HIMACHAL PRADESH,1,16,9.2,8.2,9.6,9,7,8.5,7.9,54,119,92,0.1,0.4,0.3,0.342,0.98,1,23,140,80,170,540,324
1003,"BEAS AT D/S AUT, H.P.",HIMACHAL PRADESH,2,15,10.2,0.9,9.8,8.4,7,8.4,7.9,42,118,82,0.1,1,0.3,0.283,0.92,1,23,79,43,130,280,178
1004,"BEAS AT U/S PANDON DAM, H.P.",HIMACHAL PRADESH,7,18,12.9,0.3,10.5,8.6,7.4,8.2,7.8,57,119,84,0.1,0.9,0.3,0.396,3.2,1,33,170,70,79,920,250
1005,"BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE, H.P.",HIMACHAL PRADESH,5,26,13.8,8.9,12.1,9.8,7.4,8.5,8,64,189,104,0.1,0.3,0.2,0.372,2.45,1,21,63,39,70,280,135
1550,"BEAS AT U/S MANDI, H.P",HIMACHAL PRADESH,7,20,15.3,7.5,10.8,8.9,7.5,8.5,8.1,76,157,111,0.1,0.9,0.3,0.667,3.7,1,27,79,63,110,280,218
1006,"BEAS AT D/S MANDI, H.P.",HIMACHAL PRADESH,8,21,16.2,6.9,11.7,9,7.5,8.7,8.1,99,204,145,0.2,1.4,0.5,0.676,3.02,2,79,2400,318,170,2400,643
2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,9,22,16.7,6.7,8.3,7.5,7.5,8.8,8.4,81,472,265,0,1.4,0.7,0.68,1.02,1,,,,,,
